****** Debut Capture Dmx fichier ./debug.txt ******


Fixation nombre de canaux a 16
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 0
Ecriture Position 12 Valeur = 0
Ecriture Position 13 Valeur = 0
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 255
Ecriture Position 1 Valeur = 255
Ecriture Position 2 Valeur = 255
Ecriture Position 3 Valeur = 238
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 0
Ecriture Position 6 Valeur = 0
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 234
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 0
Ecriture Position 12 Valeur = 0
Ecriture Position 13 Valeur = 0
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 255
Ecriture Position 1 Valeur = 44
Ecriture Position 2 Valeur = 0
Ecriture Position 3 Valeur = 255
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 0
Ecriture Position 6 Valeur = 0
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 234
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 0
Ecriture Position 12 Valeur = 0
Ecriture Position 13 Valeur = 0
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 255
Ecriture Position 1 Valeur = 44
Ecriture Position 2 Valeur = 0
Ecriture Position 3 Valeur = 255
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 0
Ecriture Position 6 Valeur = 0
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 234
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 0
Ecriture Position 12 Valeur = 0
Ecriture Position 13 Valeur = 0
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 255
Ecriture Position 1 Valeur = 44
Ecriture Position 2 Valeur = 0
Ecriture Position 3 Valeur = 255
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 0
Ecriture Position 6 Valeur = 0
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 234
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 0
Ecriture Position 12 Valeur = 0
Ecriture Position 13 Valeur = 0
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 255
Ecriture Position 1 Valeur = 255
Ecriture Position 2 Valeur = 255
Ecriture Position 3 Valeur = 238
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 0
Ecriture Position 6 Valeur = 0
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 234
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 0
Ecriture Position 12 Valeur = 0
Ecriture Position 13 Valeur = 0
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 255
Ecriture Position 1 Valeur = 255
Ecriture Position 2 Valeur = 255
Ecriture Position 3 Valeur = 238
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 0
Ecriture Position 6 Valeur = 0
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 234
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 0
Ecriture Position 12 Valeur = 0
Ecriture Position 13 Valeur = 0
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 255
Ecriture Position 1 Valeur = 255
Ecriture Position 2 Valeur = 255
Ecriture Position 3 Valeur = 238
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 0
Ecriture Position 6 Valeur = 0
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 234
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 0
Ecriture Position 12 Valeur = 0
Ecriture Position 13 Valeur = 0
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 0
Ecriture Position 1 Valeur = 0
Ecriture Position 2 Valeur = 255
Ecriture Position 3 Valeur = 255
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 255
Ecriture Position 6 Valeur = 0
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 0
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 0
Ecriture Position 12 Valeur = 0
Ecriture Position 13 Valeur = 255
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 0
Ecriture Position 1 Valeur = 0
Ecriture Position 2 Valeur = 255
Ecriture Position 3 Valeur = 255
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 255
Ecriture Position 6 Valeur = 0
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 0
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 0
Ecriture Position 12 Valeur = 0
Ecriture Position 13 Valeur = 255
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 0
Ecriture Position 1 Valeur = 0
Ecriture Position 2 Valeur = 255
Ecriture Position 3 Valeur = 255
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 255
Ecriture Position 6 Valeur = 0
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 0
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 0
Ecriture Position 12 Valeur = 0
Ecriture Position 13 Valeur = 255
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 255
Ecriture Position 1 Valeur = 0
Ecriture Position 2 Valeur = 30
Ecriture Position 3 Valeur = 255
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 0
Ecriture Position 6 Valeur = 0
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 234
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 0
Ecriture Position 12 Valeur = 255
Ecriture Position 13 Valeur = 0
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 255
Ecriture Position 1 Valeur = 0
Ecriture Position 2 Valeur = 30
Ecriture Position 3 Valeur = 255
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 0
Ecriture Position 6 Valeur = 0
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 234
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 0
Ecriture Position 12 Valeur = 255
Ecriture Position 13 Valeur = 0
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 255
Ecriture Position 1 Valeur = 0
Ecriture Position 2 Valeur = 30
Ecriture Position 3 Valeur = 255
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 0
Ecriture Position 6 Valeur = 0
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 234
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 0
Ecriture Position 12 Valeur = 255
Ecriture Position 13 Valeur = 0
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 255
Ecriture Position 1 Valeur = 0
Ecriture Position 2 Valeur = 0
Ecriture Position 3 Valeur = 255
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 0
Ecriture Position 6 Valeur = 255
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 0
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 255
Ecriture Position 12 Valeur = 0
Ecriture Position 13 Valeur = 0
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 255
Ecriture Position 1 Valeur = 0
Ecriture Position 2 Valeur = 0
Ecriture Position 3 Valeur = 255
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 0
Ecriture Position 6 Valeur = 255
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 0
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 255
Ecriture Position 12 Valeur = 0
Ecriture Position 13 Valeur = 0
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 255
Ecriture Position 1 Valeur = 0
Ecriture Position 2 Valeur = 0
Ecriture Position 3 Valeur = 255
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 0
Ecriture Position 6 Valeur = 255
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 0
Ecriture Position 10 Valeur = 255
Ecriture Position 11 Valeur = 255
Ecriture Position 12 Valeur = 0
Ecriture Position 13 Valeur = 0
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 0
Ecriture Position 1 Valeur = 0
Ecriture Position 2 Valeur = 0
Ecriture Position 3 Valeur = 0
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 0
Ecriture Position 6 Valeur = 0
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 0
Ecriture Position 10 Valeur = 0
Ecriture Position 11 Valeur = 0
Ecriture Position 12 Valeur = 0
Ecriture Position 13 Valeur = 0
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 0
Ecriture Position 1 Valeur = 0
Ecriture Position 2 Valeur = 0
Ecriture Position 3 Valeur = 0
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 0
Ecriture Position 6 Valeur = 0
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 0
Ecriture Position 10 Valeur = 0
Ecriture Position 11 Valeur = 0
Ecriture Position 12 Valeur = 0
Ecriture Position 13 Valeur = 0
Ecriture Position 14 Valeur = 0
Ecriture Position 0 Valeur = 0
Ecriture Position 1 Valeur = 0
Ecriture Position 2 Valeur = 0
Ecriture Position 3 Valeur = 0
Ecriture Position 4 Valeur = 0
Ecriture Position 5 Valeur = 0
Ecriture Position 6 Valeur = 0
Ecriture Position 7 Valeur = 0
Ecriture Position 8 Valeur = 0
Ecriture Position 9 Valeur = 0
Ecriture Position 10 Valeur = 0
Ecriture Position 11 Valeur = 0
Ecr
